Tanggal,Aktual,Prediksi,Kualitas Udara Aktual,Kualitas Udara Prediksi
2024-10-28,7.331776e-05,4.226881863365079e-05,Tinggi,Sedang
2024-10-29,1.3510438999999999e-05,6.615824183555555e-05,Sangat Rendah,Tinggi
2024-10-30,7.90334673566667e-06,3.366588361388889e-05,Sangat Rendah,Rendah
2024-10-31,5.283743e-05,2.73108656546e-05,Sedang,Rendah
2024-11-01,3.40402365e-05,4.0371159081111115e-05,Rendah,Sedang
2024-11-02,1.5243043e-05,4.009034870888889e-05,Sangat Rendah,Sedang
2024-11-03,1.9518096e-05,3.740376958666667e-05,Sangat Rendah,Rendah
2024-11-04,2.3793149e-05,2.5845010397071246e-05,Sangat Rendah,Sangat Rendah
2024-11-05,2.8068202e-05,2.6508331549914382e-05,Rendah,Sangat Rendah
2024-11-06,6.0900555e-05,3.20995510874183e-05,Sedang,Rendah
2024-11-07,6.903251e-05,5.13371415e-05,Tinggi,Sedang
2024-11-08,6.186040714285714e-05,6.475947998349206e-05,Sedang,Tinggi
2024-11-09,5.468830428571428e-05,6.662020841303304e-05,Sedang,Tinggi
2024-11-10,4.7516201428571424e-05,5.43790586710657e-05,Sedang,Sedang
2024-11-11,4.034409857142857e-05,5.267031897911765e-05,Sedang,Sedang
2024-11-12,3.317199571428571e-05,4.844749406800187e-05,Rendah,Sedang
2024-11-13,2.5999892857142854e-05,3.4038895589186086e-05,Sangat Rendah,Rendah
2024-11-14,1.882779e-05,3.456583387777778e-05,Sangat Rendah,Rendah
2024-11-15,2.7953785e-05,2.700684521626984e-05,Rendah,Sangat Rendah
2024-11-16,2.827785072222222e-05,3.1366556069620266e-05,Rendah,Rendah
2024-11-17,2.8601916444444444e-05,3.3307351927777784e-05,Rendah,Rendah
2024-11-18,2.8925982166666666e-05,2.9124859794084966e-05,Rendah,Rendah
2024-11-19,2.925004788888889e-05,2.9375719860751634e-05,Rendah,Rendah
2024-11-20,2.957411361111111e-05,2.90899293901634e-05,Rendah,Rendah
2024-11-21,2.9898179333333333e-05,2.9279845790163396e-05,Rendah,Rendah
2024-11-22,3.0222245055555556e-05,2.7827687139705883e-05,Rendah,Rendah
2024-11-23,3.0546310777777775e-05,2.7703577406372554e-05,Rendah,Rendah
2024-11-24,3.08703765e-05,2.820589914212418e-05,Rendah,Rendah
2024-11-25,3.119444222222222e-05,2.887164010879085e-05,Rendah,Rendah
2024-11-26,3.1518507944444446e-05,2.9039057684771237e-05,Rendah,Rendah
2024-11-27,3.1842573666666665e-05,2.9269975235751635e-05,Rendah,Rendah
2024-11-28,3.216663938888889e-05,3.06530586524183e-05,Rendah,Rendah
2024-11-29,3.249070511111111e-05,2.96429207024183e-05,Rendah,Rendah
2024-11-30,3.2814770833333335e-05,3.0933292648867105e-05,Rendah,Rendah
2024-12-01,3.3138836555555554e-05,3.1587389963311555e-05,Rendah,Rendah
2024-12-02,3.3462902277777774e-05,3.1020653204978217e-05,Rendah,Rendah
